Location,Date,Disease
United States,2017-2018,Seasonal influenza
Nigeria,2001,Cholera
South Africa,2001,Cholera
Worldwide,2002–2004,Severe acute respiratory syndrome (SARS)
Algeria,2003,Plague
Afghanistan,2004,Leishmaniasis
Bangladesh,2004,Cholera
Indonesia,2004,Dengue fever
Senegal,2004,Cholera
Sudan,2004,Ebola
Mali,2005,Yellow fever
Singapore,2005,Dengue fever
"Luanda, Angola",2006,Cholera
"Ituri Province, Democratic Republic of the Congo",2006,Plague
India,2006,Malaria
India,2006,Dengue fever
India,2006,Chikungunya virus
Pakistan,2006,Dengue fever
Philippines,2006,Dengue fever
Democratic Republic of the Congo,2007,Ebola
Ethiopia,2007,Cholera
India,2008,Cholera
Iraq,2007,Cholera
Nigeria,2007,Poliomyelitis
Puerto Rico; Dominican Republic; Mexico,2007,Dengue fever
Somalia,2007,Cholera
Uganda,2007,Ebola
Vietnam,2007,Cholera
Brazil,2008,Dengue fever
Cambodia,2008,Dengue fever
Chad,2008,Cholera
China,2008–2017,"Hand, foot and mouth disease"
Madagascar,2008,Bubonic plague
Philippines,2008,Dengue fever
Vietnam,2008,Cholera
Zimbabwe,2008–2009,Cholera
Bolivia,2009,Dengue fever
India,2009,Hepatitis B
"Queensland, Australia",2009,Dengue fever
Worldwide,2009,Mumps
West Africa,2009–2010,Meningitis
Worldwide,2009-2010,Pandemic H1N1/09 virus
Hispaniola,2010–present,"Cholera (strain serogroup O1, serotype Ogawa)"
Democratic Republic of the Congo,2010-2014,Measles
Vietnam,2011–present,"Hand, foot and mouth disease"
Pakistan,2011,Dengue fever
Darfur Sudan,2012,Yellow fever
Worldwide,2012–present,Middle East respiratory syndrome (MERS)
Vietnam,2013–2014,Measles
"Worldwide, primarily concentrated in Guinea, Liberia, Sierra Leone",2013–2016,Ebola virus disease Ebola virus virion
Americas,2013–2015,Chikungunya
Madagascar,2014–2017,Bubonic plague
India,2014–2015,"Primarily Hepatitis E, but also Hepatitis A"
India,2015,Influenza A virus subtype H1N1
Worldwide,2015–2016,Zika virus
"Angola, DR Congo, China, Kenya",2016,Yellow fever
Yemen,2016–present,Cholera
India,2017,Japanese encephalitis
India,2018,Nipah virus infection
Democratic Republic of the Congo & Uganda,August 2018–present,Ebola virus disease
Democratic Republic of the Congo,2019–present,Measles
Samoa,2019–present,Measles
"Asia-Pacific, Latin America",2019–present,Dengue fever
Worldwide,2019–present,COVID-19 / SARS-CoV-2
